ensembl_gene_id,CTRL-1,CTRL-2,CTRL-3,27HC-1,27HC-2,27HC-3
ENSG00000006530,1013,1505,1260,1233,1634,1555
ENSG00000006534,0,1,3,5,2,0
ENSG00000006555,28,30,61,76,135,127
ENSG00000006576,2756,3516,2435,6114,6130,5580
ENSG00000006606,0,0,2,0,0,0
ENSG00000006607,129,110,104,235,375,384
ENSG00000006611,0,0,0,0,0,0
ENSG00000006625,775,621,790,329,296,289
ENSG00000006634,1981,2305,1407,2213,2017,1898
ENSG00000006638,2,0,1,0,4,0
ENSG00000006652,199,190,145,229,230,230
ENSG00000006659,0,0,0,0,1,0
ENSG00000006695,527,561,475,691,1027,855
ENSG00000006704,5,2,6,28,18,33
ENSG00000006712,1100,1002,1640,1150,1868,1572
ENSG00000006715,848,1111,906,1688,1667,1610
ENSG00000006740,1,2,0,7,4,2
ENSG00000006744,1528,1691,2408,2112,2987,3025
ENSG00000006747,0,2,0,2,1,0
ENSG00000006756,112,148,126,169,277,206
ENSG00000006757,217,250,181,98,118,117
ENSG00000006788,0,0,0,0,0,0
ENSG00000006831,1797,2339,2112,1958,2596,2359
ENSG00000006837,19,20,7,7,12,5
ENSG00000007001,1,11,14,0,0,0
ENSG00000007038,277,379,472,157,203,231
ENSG00000007047,336,441,581,426,813,839
ENSG00000007062,2,0,0,0,0,1
ENSG00000007080,1765,1635,2163,886,1902,1752
ENSG00000007129,206,330,376,280,370,401
ENSG00000007168,3571,3880,4120,5055,5502,5277
ENSG00000007171,1,2,15,0,0,0
ENSG00000007174,0,0,0,0,0,0
ENSG00000007202,753,934,1362,1862,3484,2927
ENSG00000007216,0,0,0,0,0,0
ENSG00000007237,0,1,1,6,10,14
ENSG00000007255,1288,1362,2216,468,521,481
ENSG00000007264,307,265,361,358,704,647
ENSG00000007306,0,0,0,0,0,0
ENSG00000007312,152,123,255,37,55,73
ENSG00000007314,0,4,13,4,6,13
ENSG00000007341,235,245,187,209,248,214
ENSG00000007350,34,31,31,40,36,39
ENSG00000007372,0,3,4,2,2,1
ENSG00000007376,1022,925,1341,868,1231,1213
ENSG00000007384,4,1,1,20,21,10
ENSG00000007392,705,656,811,822,954,1027
ENSG00000007402,20,22,8,13,30,22
ENSG00000007516,12,22,16,12,28,22
ENSG00000007520,1830,1551,3006,860,1413,1311
ENSG00000007541,583,551,863,695,962,942
ENSG00000007545,338,388,425,459,692,577
ENSG00000007866,5,4,12,2,4,10
ENSG00000007908,0,0,0,0,0,0
ENSG00000007923,217,254,478,637,1108,917
ENSG00000007933,0,0,3,0,0,0
ENSG00000007944,363,612,437,403,503,509
ENSG00000007952,17,6,0,19,8,4
ENSG00000007968,756,973,1345,1615,2639,2569
ENSG00000008018,8829,6988,6166,4848,5510,4966
ENSG00000008056,3,0,0,4,3,9
ENSG00000008083,785,958,917,2291,3607,3345
ENSG00000008086,5,0,0,11,25,17
ENSG00000008118,0,0,0,0,0,2
ENSG00000008128,30,40,58,25,63,49
ENSG00000008130,1467,1836,2225,1752,2583,2460
ENSG00000008196,0,0,0,0,0,1
ENSG00000008197,0,0,0,0,0,0
ENSG00000008226,17,12,45,33,39,32
ENSG00000008256,7,6,5,14,19,25
ENSG00000008277,128,226,184,206,262,232
ENSG00000008282,1761,1871,1246,1544,1392,1224
ENSG00000008283,41,60,73,70,152,132
ENSG00000008294,1158,1418,1279,1812,2391,2113
ENSG00000008300,320,457,607,403,753,711
ENSG00000008311,12,3,7,22,5,12
ENSG00000008323,5,7,17,2,7,14
ENSG00000008324,1483,1261,1020,799,778,687
ENSG00000008382,118,126,239,90,130,134
ENSG00000008394,27,20,7,11,9,11
ENSG00000008405,409,545,360,639,737,741
ENSG00000008438,0,0,0,0,4,5
ENSG00000008441,0,3,0,0,3,0
ENSG00000008513,1433,2094,2411,2842,5251,4484
ENSG00000008516,6594,7728,8497,5124,9014,7679
ENSG00000008517,84540,88151,73779,32540,42410,35199
ENSG00000008710,343,627,1147,939,1886,1814
ENSG00000008735,13,19,25,18,14,28
ENSG00000008838,965,1393,1686,2171,3567,3023
ENSG00000008853,37,44,69,86,189,167
ENSG00000008869,158,312,224,769,1006,847
ENSG00000008952,1816,1964,1452,2233,2126,2083
ENSG00000008988,32238,26893,32559,15487,15489,13651
ENSG00000009307,7224,9404,7444,12394,15133,13410
ENSG00000009335,1314,1872,1984,2933,4473,3816
ENSG00000009413,385,449,376,716,802,866
ENSG00000009694,13,28,44,203,339,295
ENSG00000009709,0,0,0,0,0,0
ENSG00000009724,36,103,114,134,289,214
ENSG00000009765,0,0,0,0,0,2
ENSG00000009780,267,365,220,265,304,290
ENSG00000009790,4560,6320,5996,5037,7078,6472
ENSG00000009830,122,168,180,173,363,303
ENSG00000009844,1249,1375,997,1641,1545,1473
ENSG00000009950,0,0,0,0,0,0
ENSG00000009954,1297,1774,1815,3421,4932,4678
ENSG00000010017,996,1477,1120,2251,2746,2565
ENSG00000010030,117,89,82,157,157,165
ENSG00000010072,233,324,178,399,438,442
ENSG00000010165,931,1180,1320,1028,1487,1415
ENSG00000010219,378,345,294,211,302,267
ENSG00000010244,5688,7159,4714,8000,8800,7915
ENSG00000010256,8774,7549,8324,4501,5094,4696
ENSG00000010270,1384,1315,903,1322,1474,1164
ENSG00000010278,143,215,152,1045,1074,864
ENSG00000010282,0,0,0,0,0,0
ENSG00000010292,3701,4846,5431,3918,6585,5662
ENSG00000010295,332,457,543,342,556,568
ENSG00000010310,233,515,521,88,203,214
ENSG00000010318,199,498,421,207,282,293
ENSG00000010319,0,0,0,0,0,0
ENSG00000010322,1351,1906,2461,1745,2849,2759
ENSG00000010327,0,0,0,0,0,1
ENSG00000010361,139,234,264,85,181,140
ENSG00000010379,0,4,1,0,6,0
ENSG00000010404,252,370,352,325,561,577
ENSG00000010438,4,1,3,6,5,6
ENSG00000010539,337,333,287,185,242,244
ENSG00000010610,1475,2258,1725,2307,3917,3287
ENSG00000010626,198,207,196,81,87,65
ENSG00000010671,1,0,1,1,0,0
ENSG00000010704,63,47,68,52,119,71
ENSG00000010803,135,262,224,412,652,616
ENSG00000010810,1649,2322,2264,2276,3086,2875
ENSG00000010818,157,174,212,280,468,449
ENSG00000010932,0,6,0,2,3,1
ENSG00000011007,619,753,746,1551,2057,1874
ENSG00000011009,2373,2203,2661,1566,2559,2459
ENSG00000011021,229,329,304,281,513,484
ENSG00000011028,23,39,45,69,122,105
ENSG00000011052,0,0,0,0,0,0
ENSG00000011083,0,0,0,0,0,0
ENSG00000011105,0,0,0,0,0,0
ENSG00000011114,198,285,222,580,823,735
ENSG00000011132,690,979,1058,738,1251,1213
ENSG00000011143,326,269,285,244,270,237
ENSG00000011198,402,463,313,629,664,608
ENSG00000011201,0,0,0,0,0,0
ENSG00000011243,518,711,1041,705,1085,995
ENSG00000011258,261,451,291,487,608,474
ENSG00000011260,1902,1842,1714,1888,2118,2046
ENSG00000011275,875,1082,1230,1195,1872,1697
ENSG00000011295,1504,1640,1867,1425,1564,1431
ENSG00000011304,5924,7491,6465,9345,15387,15282
ENSG00000011332,21,13,24,7,10,17
ENSG00000011347,0,0,0,0,0,0
ENSG00000011376,262,372,383,659,1053,956
ENSG00000011405,268,448,298,636,856,776
ENSG00000011422,299,371,336,346,376,372
ENSG00000011426,1038,1377,1166,1908,1977,1950
ENSG00000011451,235,441,413,980,1876,1793
ENSG00000011454,314,434,440,500,749,668
ENSG00000011465,0,0,0,0,0,0
ENSG00000011478,535,610,659,316,414,374
ENSG00000011485,1268,1855,1870,2154,3679,3451
ENSG00000011523,238,309,326,170,299,269
ENSG00000011566,161,163,151,290,336,275
ENSG00000011590,3466,2755,3425,2555,3570,3064
ENSG00000011600,2,4,2,3,2,1
ENSG00000011638,555,675,582,289,433,394
ENSG00000011677,0,0,0,0,0,0
ENSG00000012048,1189,1579,1649,1511,1889,1746
ENSG00000012061,1119,1048,1083,817,1192,949
ENSG00000012124,4,2,2,0,1,0
ENSG00000012171,44,42,79,20,31,21
ENSG00000012174,251,263,227,372,502,458
ENSG00000012211,125,219,244,207,394,449
ENSG00000012223,0,0,0,0,0,1
ENSG00000012232,305,409,500,505,965,856
ENSG00000012504,0,0,0,0,0,0
ENSG00000012660,5622,7088,5060,6443,7547,6995
ENSG00000012779,9,18,18,13,12,28
ENSG00000012817,0,0,0,0,0,0
ENSG00000012822,210,552,533,528,951,751
ENSG00000012963,1457,1923,1495,2110,2071,1870
ENSG00000012983,489,615,459,1201,1239,1052
ENSG00000013016,25,33,54,68,131,130
ENSG00000013275,2350,2213,2415,3707,4272,3767
ENSG00000013288,730,826,929,1230,2172,1868
ENSG00000013293,0,0,4,0,0,0
ENSG00000013297,8,16,11,8,4,7
ENSG00000013306,2301,2251,3128,1966,3345,3060
ENSG00000013364,1571,2004,3055,2490,4550,4155
ENSG00000013374,1413,1432,1441,1906,1973,1884
ENSG00000013375,237,389,287,465,500,477
ENSG00000013392,163,241,102,148,153,93
ENSG00000013441,1806,1983,1446,3189,2914,2602
ENSG00000013503,72,71,61,194,222,180
ENSG00000013523,189,264,209,218,398,395
ENSG00000013561,637,728,628,830,791,687
ENSG00000013563,70,136,128,89,193,169
ENSG00000013573,871,1314,1685,1347,2339,2088
ENSG00000013583,156,141,118,60,63,68
ENSG00000013588,0,0,0,0,1,0
ENSG00000013619,272,443,342,662,985,910
ENSG00000013725,1821,2529,3954,3088,5527,4946
ENSG00000013810,5957,6805,10080,4098,6562,6193
ENSG00000014123,993,1517,821,1727,1689,1671
ENSG00000014138,608,526,821,283,329,382
ENSG00000014164,317,418,534,390,726,665
ENSG00000014216,2487,3369,3756,3825,5889,5868
ENSG00000014257,0,0,0,0,0,0
ENSG00000014641,8789,7766,6942,5478,5517,4966
ENSG00000014824,1185,1484,1060,1493,1764,1377
ENSG00000014914,16,35,9,10,53,28
ENSG00000014919,582,738,672,539,558,507
ENSG00000015133,1162,1847,2258,2363,4554,3823
ENSG00000015153,600,710,475,793,712,707
ENSG00000015171,690,881,761,1685,1856,1615
ENSG00000015285,2625,3549,4643,2420,4170,3926
ENSG00000015413,0,0,0,0,0,0
ENSG00000015475,565,630,620,585,644,741
ENSG00000015479,11,39,21,73,135,89
ENSG00000015520,0,0,0,0,0,1
ENSG00000015532,739,1039,1671,653,1130,1134
ENSG00000015568,1,1,3,1,3,2
ENSG00000015592,0,0,0,0,0,0
ENSG00000015676,1368,1673,2096,1251,1785,1592
ENSG00000016082,0,0,0,1,0,0
ENSG00000016391,315,429,542,772,1522,1416
ENSG00000016402,0,0,0,2,0,0
ENSG00000016490,0,0,0,0,0,0
ENSG00000016602,0,0,0,0,0,0
ENSG00000016864,1454,1649,1308,1151,1300,1164
ENSG00000017260,1184,1835,1483,2599,2770,2598
ENSG00000017427,97,132,81,50,88,36
ENSG00000017483,732,873,933,1281,1871,1619
ENSG00000017797,1108,1716,1952,1977,2458,2272
ENSG00000018189,188,223,152,287,406,319
ENSG00000018236,0,0,0,0,0,0
ENSG00000018280,54,68,79,12,32,45
ENSG00000018408,40,57,25,24,47,49
ENSG00000018510,1203,1561,1169,2583,2936,2743
ENSG00000018607,0,0,0,0,0,0
ENSG00000018610,750,672,734,537,636,563
ENSG00000018625,0,0,0,0,0,0
ENSG00000018699,428,405,360,701,683,583
ENSG00000018869,2,3,13,9,20,4
ENSG00000019102,2,0,0,0,0,4
ENSG00000019144,3,4,1,3,8,6
ENSG00000019169,0,0,5,0,0,0
ENSG00000019186,0,3,0,0,0,0
ENSG00000019485,13,5,10,37,74,44
ENSG00000019505,0,0,0,0,0,0
ENSG00000019549,0,0,0,1,0,0
ENSG00000019582,63622,95256,79651,37997,63514,58362
ENSG00000019991,0,4,3,4,0,0
ENSG00000019995,81,163,139,236,387,351
ENSG00000020129,285,585,707,772,1560,1272
ENSG00000020181,3,4,3,5,34,44
ENSG00000020219,0,0,0,0,0,1
ENSG00000020256,210,257,183,232,292,348
ENSG00000020426,1085,827,985,614,695,652
ENSG00000020577,45,91,59,115,150,140
ENSG00000020633,5554,6348,6170,6228,11046,10095
ENSG00000020922,1347,1689,1445,1541,1888,1719
ENSG00000021300,38,26,28,54,48,46
ENSG00000021355,4161,4844,3682,3421,3899,3294
ENSG00000021461,0,0,5,0,0,0
ENSG00000021488,0,0,1,0,1,0
ENSG00000021574,698,799,692,931,912,861
ENSG00000021645,0,5,0,0,0,0
ENSG00000021762,1,0,2,10,15,5
ENSG00000021776,492,735,549,1594,2100,1631
ENSG00000021826,0,2,3,3,1,1
ENSG00000021852,0,0,0,0,0,0
ENSG00000022267,39,92,64,265,325,279
ENSG00000022277,3650,3343,3693,3317,3896,3286
ENSG00000022355,0,0,0,0,0,0
ENSG00000022556,531,555,666,687,794,786
ENSG00000022567,117,109,186,224,322,342
ENSG00000022840,2430,3208,3470,3705,4465,3994
ENSG00000022976,99,230,236,191,281,344
ENSG00000023041,1142,1360,815,1899,1745,1619
ENSG00000023171,1642,1874,1844,3170,5340,4984
ENSG00000023191,1910,2434,3899,2096,2877,2839
ENSG00000023228,1946,2379,2258,2641,3220,2777
ENSG00000023287,665,974,718,1375,1638,1374
ENSG00000023318,2465,2759,1807,3586,3338,2852
ENSG00000023330,1446,2037,1996,2442,3467,3122
ENSG00000023445,4762,4813,3818,9725,11116,9910
ENSG00000023516,1297,1718,1216,2647,2953,2742
ENSG00000023572,525,489,459,517,513,516
ENSG00000023608,367,232,205,197,130,179
ENSG00000023697,752,807,714,626,636,543
ENSG00000023734,3556,3406,2746,3596,3925,3461
ENSG00000023839,16,19,21,30,29,11
ENSG00000023892,3818,4916,6158,4013,5502,5286
ENSG00000023902,5856,5983,7129,4626,7059,6846
ENSG00000023909,961,1167,884,1289,1213,1191
ENSG00000024048,845,1128,963,1286,1596,1471
ENSG00000024422,0,0,1,0,5,4
ENSG00000024526,1165,1369,877,1313,1159,977
ENSG00000024862,853,915,635,699,576,594
ENSG00000025039,120,190,187,123,167,161
ENSG00000025156,792,1050,760,973,857,765
ENSG00000025293,1180,1390,1333,1275,1770,1620
ENSG00000025423,98,68,80,25,41,47
ENSG00000025434,150,202,190,85,111,98
ENSG00000025708,675,460,744,721,1370,1233
ENSG00000025770,3168,2885,4832,2413,3342,3111
ENSG00000025772,735,859,779,857,1177,740
ENSG00000025796,1894,2277,1902,3135,3421,2947
ENSG00000025800,669,917,1125,1421,2592,2136
ENSG00000026025,27409,26914,20656,28366,24591,21770
ENSG00000026036,17,7,40,79,153,159
ENSG00000026103,2135,2547,1806,3660,3340,2850
ENSG00000026297,1331,1326,2589,386,516,512
ENSG00000026508,1870,1794,1335,5068,6242,5423
ENSG00000026559,8,4,3,17,15,5
ENSG00000026652,329,249,270,276,383,404
ENSG00000026751,2215,3059,2359,4582,6137,5509
ENSG00000026950,375,694,570,561,1148,972
ENSG00000027001,183,207,193,299,346,276
ENSG00000027075,3661,4279,3624,5493,6606,5970
ENSG00000027644,6,12,1,9,15,16
ENSG00000027697,1177,1218,822,1047,847,856
ENSG00000027847,197,292,399,291,525,502
ENSG00000027869,4304,3871,5180,2872,4213,3981
ENSG00000028116,113,192,178,443,457,413
ENSG00000028137,4675,6123,8728,7230,11546,10300
ENSG00000028203,664,812,703,1319,1551,1269
ENSG00000028277,587,734,668,406,875,842
ENSG00000028310,913,1153,1363,1312,2068,1863
ENSG00000028528,1731,2332,2251,3009,3537,3183
ENSG00000028839,457,402,256,509,417,395
ENSG00000029153,1930,2090,1602,2647,3309,3127
ENSG00000029363,3465,4013,3163,7173,7604,6834
ENSG00000029364,1183,1250,1092,1796,2210,1999
ENSG00000029534,84,109,107,95,235,191
ENSG00000029559,0,0,0,0,0,0
ENSG00000029639,414,455,378,258,287,243
ENSG00000029725,253,262,290,422,577,512
ENSG00000029993,2234,1859,1645,1421,1664,1371
ENSG00000030066,1013,1363,1004,2266,2646,2570
ENSG00000030110,1063,1289,1198,1015,1755,1559
ENSG00000030304,0,0,0,0,0,0
ENSG00000030419,528,824,501,1134,1292,1303
ENSG00000030582,1767,2433,3627,2296,2913,2876
ENSG00000031003,333,420,278,1298,1461,1198
ENSG00000031081,72,73,91,768,1396,1256
ENSG00000031691,676,649,504,826,679,531
ENSG00000031698,3021,3256,3326,4251,4858,4275
ENSG00000031823,1170,1555,1899,1437,2326,2261
ENSG00000032219,582,909,662,997,1098,1000
ENSG00000032389,1303,1305,1135,1136,1358,1296
ENSG00000032444,4445,4765,7028,4001,6042,5902
ENSG00000032742,141,121,155,269,251,237
ENSG00000033011,409,471,472,476,673,609
ENSG00000033030,539,843,564,1018,1233,1116
ENSG00000033050,436,352,310,563,581,633
ENSG00000033100,1111,1571,1632,1543,3027,3052
ENSG00000033122,19,72,20,133,85,94
ENSG00000033170,2192,2776,1924,4040,4532,3837
ENSG00000033178,2393,3139,2340,3901,3865,3616
ENSG00000033327,685,979,920,1709,3329,2935
ENSG00000033627,279,352,390,430,614,632
ENSG00000033800,256,376,304,774,916,854
ENSG00000033867,2135,3470,2209,4081,4191,3804
ENSG00000034053,8,9,9,10,13,9
ENSG00000034152,1550,1915,2033,1508,2214,2202
ENSG00000034239,0,0,0,0,0,0
ENSG00000034510,120268,98189,136626,18824,37673,34206
ENSG00000034533,170,179,97,179,195,156
ENSG00000034677,1769,1907,1357,2920,2997,2775
ENSG00000034693,240,336,244,279,362,279
ENSG00000034713,2561,2315,2254,2004,1774,1576
ENSG00000034971,0,0,0,0,0,0
ENSG00000035115,282,499,310,269,251,246
ENSG00000035141,1425,1575,1205,1207,1561,1405
ENSG00000035403,272,386,345,415,642,619
ENSG00000035499,1873,1817,1315,1711,1428,1231
ENSG00000035664,366,479,516,161,331,256
ENSG00000035681,1235,1430,1252,2225,2332,2280
ENSG00000035687,1111,1345,1291,1724,1858,1756
ENSG00000035720,2092,2024,1398,1936,1686,1486
ENSG00000035862,8,5,0,3,5,0
ENSG00000035928,1862,2199,2151,3069,3686,3110
ENSG00000036054,707,759,591,1117,1121,1007
ENSG00000036257,657,1232,943,2001,2575,2312
ENSG00000036448,139,103,103,66,85,71
ENSG00000036473,0,0,0,3,1,0
ENSG00000036530,0,0,0,0,1,0
ENSG00000036549,552,723,482,1100,1102,931
ENSG00000036565,0,0,0,0,0,0
ENSG00000036672,1,4,0,4,2,3
ENSG00000036828,0,0,0,0,0,0
ENSG00000037042,67,158,131,122,203,135
ENSG00000037241,1201,1011,721,722,849,672
ENSG00000037280,0,3,5,2,4,6
ENSG00000037474,1141,1482,1528,2320,3074,2985
ENSG00000037637,452,655,604,516,825,743
ENSG00000037749,280,403,310,586,726,722
ENSG00000037757,105,389,446,393,586,638
ENSG00000037897,80,80,79,134,204,179
ENSG00000037965,1,0,0,0,0,0
ENSG00000038002,646,593,508,656,790,678
ENSG00000038210,2607,3260,2463,2867,2839,2702
ENSG00000038219,444,696,446,1496,2131,1903
ENSG00000038274,3143,3198,2470,3796,3327,2994
ENSG00000038295,11,7,6,0,8,1
ENSG00000038358,182,615,1148,1494,2921,2428
ENSG00000038382,101,212,186,207,375,326
ENSG00000038427,0,0,0,0,0,0
ENSG00000038532,536,713,868,1108,1990,1827
ENSG00000038945,0,0,0,0,0,0
ENSG00000039068,11,5,8,9,22,12
ENSG00000039123,755,1188,1104,2142,2277,1874
ENSG00000039139,0,0,0,0,0,0
ENSG00000039319,119,177,113,228,301,287
ENSG00000039523,161,243,276,185,375,381
ENSG00000039537,0,0,0,0,0,0
ENSG00000039560,0,1,0,2,5,6
ENSG00000039600,3,12,9,10,9,8
ENSG00000039650,798,807,1029,583,1224,1095
ENSG00000039987,0,0,2,1,4,0
ENSG00000040199,182,309,184,334,465,371
ENSG00000040275,704,868,885,1661,1445,1266
ENSG00000040341,1825,2229,1578,2963,3168,2616
ENSG00000040487,323,360,430,272,429,405
ENSG00000040531,225,250,256,462,709,646
ENSG00000040608,10,12,17,1,11,7
ENSG00000040633,795,780,836,550,801,716
ENSG00000040731,0,0,0,0,0,0
ENSG00000040933,2740,3709,3301,7433,10993,9844
ENSG00000041353,55,45,32,143,151,146
ENSG00000041357,7918,6202,5120,5769,5835,5052
ENSG00000041515,3,1,1,1,2,1
ENSG00000041802,708,796,842,1184,1507,1385
ENSG00000041880,127,197,161,175,262,246
ENSG00000041982,12,8,13,77,105,118
ENSG00000041988,439,508,613,202,290,301
ENSG00000042062,11,20,11,3,2,5
ENSG00000042088,1584,1901,1437,1508,1781,1464
ENSG00000042286,434,391,475,423,738,496
ENSG00000042304,0,0,0,0,0,0
ENSG00000042317,80,78,57,47,70,77
ENSG00000042429,83,182,99,234,254,250
ENSG00000042445,252,408,457,534,1100,844
ENSG00000042493,8305,7968,11108,8363,13162,11964
ENSG00000042753,5634,4038,5219,2179,2358,2064
ENSG00000042781,0,1,1,5,7,0
ENSG00000042813,0,2,0,0,0,1
ENSG00000042832,5,19,15,9,36,25
ENSG00000042980,0,0,1,0,3,3
ENSG00000043039,7,2,6,5,11,7
ENSG00000043093,1711,1933,1305,2991,3027,2432
ENSG00000043143,1168,1490,1845,1725,3134,2873
ENSG00000043355,28,27,23,10,17,9
ENSG00000043462,3555,4403,2949,7161,9087,8044
ENSG00000043514,607,614,624,466,415,391
ENSG00000043591,0,1,4,1,0,0
ENSG00000044012,0,0,0,0,0,0
ENSG00000044090,323,484,638,351,544,441
ENSG00000044115,778,1231,1218,1683,2132,1777
ENSG00000044446,98,193,290,234,457,420
ENSG00000044459,23,42,44,56,47,35
ENSG00000044524,0,0,0,0,0,0
